,user_id,registration_source,total_account_count,status,seller_id,segment
7,43,diğer,6,Active,A12KD5LK9C52RN,advocates
38,241,diğer,13,Active,A19XZU4B7WDLTM,advocates
43,248,diğer,3,Suspended,A38YGZ07L7P5EZ,not_active
50,262,diğer,3,Suspended,A2SLH2HLUY3FBV,not_active
63,284,diğer,3,Suspended,A1I45J755YHZSL,not_active
134,425,diğer,10,Active,AOFC62M68TMKM,advocates
163,481,diğer,2,Suspended,AXK6LMGU7AK8V,not_active
194,594,diğer,9,Suspended,A3HALH9SZ7SUR3,not_active
214,629,diğer,4,Suspended,A2W3RW8XREZAG3,not_active
222,648,diğer,2,Suspended,A1R0RABUOXRM2W,not_active
251,705,diğer,3,Suspended,A1B67TNLCW2HA9,not_active
256,711,diğer,2,Suspended,A2CK861HCRDQWD,not_active
309,808,diğer,6,Active,A3BBOG95KQVVQE,advocates
328,837,diğer,4,Suspended,AFI3QBGBJW74P,not_active
329,838,diğer,2,Suspended,A3EFN2L1LNQ308,not_active
343,859,diğer,6,Suspended,A2O2JWYPIWRJUB,not_active
345,861,diğer,3,Suspended,A1LJ1FZT9TYF8V,not_active
352,871,diğer,2,Suspended,A1YUSTXPG9H6X6,not_active
362,889,diğer,7,Active,A24MRHYVNXI7HX,advocates
368,904,diğer,2,Suspended,A5AWQ40KRIMWE,not_active
388,941,diğer,2,Suspended,A2NOTSFONCYFQT,not_active
402,967,diğer,4,Suspended,AYE4TB70ZSRJC,not_active
409,976,amazon-camp,6,Suspended,A2WQ4BOGD5YHO0,not_active
424,1002,diğer,2,Suspended,AOIVLRIW0X5AH,not_active
425,1004,diğer,2,Suspended,A14HCSESIGVYWM,not_active
431,1015,diğer,1,Suspended,A5FXTL5EGUYIL,not_active
443,1029,diğer,1,Suspended,A18LLQY6OOAYOW,not_active
445,1036,diğer,1,Suspended,A1F2J8NKZCSJEK,not_active
447,1039,diğer,1,Suspended,A2R8KZ99TURK1Y,not_active
456,1061,diğer,4,Suspended,A3V7BW6GUTWVZ9,not_active
459,1065,diğer,2,Suspended,A1WLBL6Q4UIYT6,not_active
477,1104,diğer,6,Active,A2WQY63USQ0RWX,advocates
480,1108,diğer,9,Suspended,A2GL9054BSBDEB,not_active
493,1134,diğer,2,Suspended,APYM5MHCT1B9T,not_active
498,1143,diğer,3,Suspended,APK8AP5HWCS2L,not_active
501,1149,diğer,11,Suspended,A2WMAZAZVRQ0CK,not_active
507,1157,amazon-camp,5,Suspended,A3F4WREXYC8P0K,not_active
509,1163,diğer,3,Active,A1EJZ67654ZEJO,advocates
524,1197,diğer,2,Suspended,A2JWV4LGQSXQ2I,not_active
527,1200,diğer,1,Suspended,A2RI12IDN4VLDY,not_active
530,1207,diğer,1,Suspended,A2IUI29O50P5TD,not_active
532,1209,diğer,1,Suspended,AGZJLV45CR6MG,not_active
535,1212,diğer,10,Suspended,A1YLQ6F5ARF1U5,not_active
537,1214,diğer,3,Active,ABJGD1WSVGAQB,advocates
539,1217,diğer,2,Suspended,A9K8PA8WAJNW9,not_active
542,1220,diğer,9,Suspended,A2NBJ8OWQ6OVM7,not_active
562,1251,diğer,5,Suspended,A2D9VP0Y7XQQHL_DELETED,not_active
563,1252,diğer,3,Suspended,AKGOAMZ1PVBIS,not_active
564,1253,diğer,2,Suspended,A3GH12O5Q5ZA0B,not_active
568,1258,diğer,2,Suspended,AY981951RLBU5,not_active
569,1259,diğer,1,Suspended,A2BECX9OCYRJJY,not_active
571,1261,diğer,2,Suspended,A1ZEVIW1A2CEJM,not_active
576,1266,diğer,1,Suspended,A1EB8FNJSPDL12,not_active
581,1273,diğer,4,Suspended,A2Z8NG03US1GQT,not_active
582,1275,diğer,3,Suspended,A31XFV4JY6MXJ,not_active
584,1278,diğer,5,Suspended,ACUAKIDBTEO5X,not_active
585,1281,diğer,12,Suspended,A1IPMD22I6WVWQ,not_active
592,1290,diğer,2,Suspended,A35WO60LPM6FHI,not_active
597,1298,diğer,3,Suspended,AAGJA2PHTA28P,not_active
598,1300,diğer,5,Suspended,A1AM97ERNOCVHG,not_active
606,1321,diğer,6,Suspended,A1BJ0L697EI7QA,not_active
612,1333,diğer,2,Suspended,A28WKWSY50QQHX,not_active
625,1351,diğer,6,Suspended,A1KMWJXVC8QCS1,not_active
628,1356,diğer,2,Suspended,A2G53K44BQIZSH,not_active
636,1367,amazon-camp,6,Suspended,A1RCM7VIRNYFGP,not_active
