,new_customer_id
0,A101UKKIP68UZJ
1,A104HDA5SG2JYV
2,A10LLCQ9PM4K95
3,A10LUR0AEZLK4W
4,A11IU7QFPNYM1Z
5,A11QD5VVSXOVHZ
6,A11UN74TOKR565
7,A155JOTVYRCXP0
8,A165GEDUNQ02PR
9,A16Q9C4IW9BY5R
10,A16X9GR1MLNHNP
11,A170OZZ2D29QGZ
12,A17O5JHHEO08LF
13,A188LHN9XCK8DN
14,A18J8QA731IE20
15,A18WWVD41WI8AF
16,A19AO8Z1SF57W2
17,A1ADET42KFZQXU
18,A1AF05OISHWQ73
19,A1B5TAUE1UO3OQ
20,A1BN8K7CVC2S6S
21,A1C23U6OQGA51H
22,A1DOVAN9YBN0KT
23,A1DPJJFWD7AGBS
24,A1EOU84QEM1GYY
25,A1F4N65MNV14W7
26,A1GTI53E8OUSFK
27,A1ILS8PYBN0UZ6
28,A1J2UQ9WEAHD2J
29,A1JGY8U1DN1MLJ
30,A1JXYHRSY5WG5N
31,A1KCFDC0MX6XGA
32,A1KVXI6VXML35S
33,A1L97N3QCGBMPS
34,A1L9AF03KH81M8
35,A1MXYYSM0C0YM4
36,A1NN58IQ0BNRH
37,A1O3LBVIY0XXBQ
38,A1OJGGR41O33P7
39,A1ORW260X04DZP
40,A1P28FXJCZLRK6
41,A1SYE3Z6M6REOG
42,A1UGQDTFDSTHLI
43,A1UXM2EC3NOATU
44,A1VER8EROM6N9K
45,A1VGVBCMRBO3CS
46,A1VTZ1WGRKUTG9
47,A1X0RNXKH2UEQD
48,A1XMEJSGYSFZ65
49,A1Y5SCIY4O3LF0
50,A1ZH3YURI762QC
51,A1ZSR6U4U5KG31
52,A22CI1VE0YC543
53,A22GQJRO8FZ82T
54,A230M50XG2TXOJ
55,A23I79W5L3VPBL
56,A23VEQC8HUM53T
57,A241BU8YW450Y2
58,A24EUMYR4IZ3T2
59,A24JRQVZRMF880
60,A25YEPKGMXF3NO
61,A26L59HHTGJ3Q
62,A26META7XF7M16
63,A27CHHOTTNAZM1
64,A27FFABRVMJL01
65,A28MSSE1QARKH6
66,A291Q74TKWDJ8J
67,A291TEJ7STI7OU
68,A29JEGNEDBN2ED
69,A29JOQJ9TZVOLD
70,A2AGIOSHLB70T
71,A2AN90XYJ8MI39
72,A2AQUBFQGSLIJO
73,A2AR60THDU0QQR
74,A2AYOMY20SAEOR
75,A2BN0DUKXONJ2D
76,A2CXC4W3UP9FIY
77,A2D2TRID0BW7CI
78,A2DB4WEB6Y7MF0
79,A2DWHVYZTSQPTO
80,A2ENAC37XMOTZK
81,A2F9R9XNBVJOFK
82,A2FPNT1H6B7ZLU
83,A2H71PZOLF6ZUP
84,A2H8ILMNG5O4YF
85,A2HAHVKFGZZB1E
86,A2HHCNLEDEMOO9
87,A2HN7UMGADZ8L0
88,A2IDWZ3OCBXYTH
89,A2IS47L0VLJX3U
90,A2KW3WJQJK2FOR
91,A2MR1C27IUPXYZ
92,A2NZVAPJVJ5V45
93,A2OR62DDD9ZEN7
94,A2QR9YUJ1UOYIS
95,A2RR1R5ZW1IET8
96,A2SJJ658OIRKU7
97,A2US8POJYT9LV6
98,A2USE7VL6NM9AT
99,A2VEWQG414M9EM
100,A2WNDV534KULF5
101,A2XZXA4SB1JF2K
102,A2ZQ348DMTX5M1
103,A303TJ1488UQCU
104,A308T8M5CJVG2I
105,A317TU2STGLXO9
106,A320QOBILG317J
107,A321MR030JEVZV
108,A32CTBNGT9N65T
109,A33I1OH52S2G9I
110,A34B4W34GJWIGL
111,A34MRGVR5SSYJ8
112,A34V24SM50C7P
113,A353IK94717PE9
114,A358BM62AMB5UL
115,A35WR5VD0W3E6S
116,A35Y0WXAVF5USX
117,A35Y86CJOHO5BR
118,A3637NEPO6EXVH
119,A37QAMZ7GM4R2S
120,A39SZNQV0KNCN
121,A3ADGQ5RMRHU0C
122,A3AZ86N1M71LJ2
123,A3BQYL790Y2XC9
124,A3CL96TUV4873L
125,A3CRE1RQUL4647
126,A3DQ24UR36HEM0
127,A3EWJVMM2YODPE
128,A3GZ0KXCPH6RVG
129,A3H3GA6HA0W3AJ
130,A3H5NI3BNC6P8Y
131,A3HH4UDZB50US6
132,A3HHBNSG231LL6
133,A3I4731ANJU04F
134,A3IP0VD35MSLCB
135,A3IR0R4ZZ8HKWO
136,A3J0GEACDEH5ES
137,A3JF3GA7YULH2H
138,A3KMVKAGJ3RSQM
139,A3ML7ZRZGUWH7G
