seller_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RFM_SCORE,segment
A0502217TMK6CBPR9OX2,140,5,2145.04,4,2,4,42,potential_loyalists
A101UKKIP68UZJ,16,2,192.81,5,1,1,51,new_customers
A1031GX1E7RX6B,193,21,3109.2500000000005,3,4,4,34,loyal_customers
A104HDA5SG2JYV,5,2,185.04,5,1,1,51,new_customers
A104PAFQ1WKPQW,853,2,78.11,1,1,1,11,hibernating
A1056X0I66U9S8,150,1,85.92,4,1,1,41,promising
A105BHAPHGKBRC,152,95,6102.959999999999,4,5,5,45,loyal_customers
A106FMCIT2K2RK,4,6,656.85,5,2,3,52,potential_loyalists
A106WTDHHMSV5O,184,4,326.57000000000005,3,2,2,32,about_to_sleep
A1070KADVN5CUR,245,1,462.4,3,1,2,31,about_to_sleep
A107H53VH9ZWG0,615,110,7507.459999999998,1,5,5,15,cant_loose
A1090A6YBE2LP8,896,17,3108.14,1,4,4,14,at_Risk
A1095GYFQLKL7O,194,21,2378.93,3,4,4,34,loyal_customers
A10963O61Z8U2I,652,15,170.42,1,3,1,13,at_Risk
A109L2TQ10YSOI,477,44,9561.579999999998,2,5,5,25,cant_loose
A10AE01WSC2M9J,748,3,132.58,1,2,1,12,hibernating
A10AEP3ANTSOZG,259,14,1017.15,2,3,3,23,at_Risk
A10CO59QH72HOA,110,12,421.66,4,3,2,43,potential_loyalists
A10COL7D9TWIYH,200,9,534.18,3,3,2,33,need_attention
A10E1QWBU5OSDV,264,27,1454.27,2,4,3,24,at_Risk
A10GLBHNIY89QA,194,13,1061.48,3,3,3,33,need_attention
A10HXDFXRMOYN6,620,6,236.2,1,2,2,12,hibernating
A10HYQ7TJUIEWO,95,3,306.12,4,2,2,42,potential_loyalists
A10K6QKHU7G2C2,2,4,593.0999999999999,5,2,2,52,potential_loyalists
A10KLP0U5AX5QS,728,8,97.71000000000001,1,3,1,13,at_Risk
A10L4QEYO8EYNK,200,8,510.38,3,3,2,33,need_attention
A10LLCQ9PM4K95,23,1,102.37,5,1,1,51,new_customers
A10LUR0AEZLK4W,9,1,67.65,5,1,1,51,new_customers
A10NTT75VZRLOK,199,351,107748.81999999999,3,5,5,35,loyal_customers
A10O51B2F5UP4Z,0,7,2174.96,5,2,4,52,potential_loyalists
A10Q0246K658GL,508,184,15423.460000000003,2,5,5,25,cant_loose
A10QQ5I2D07F9,605,53,2672.9300000000003,1,5,4,15,cant_loose
A10RCSD3CQX8O9,242,15,724.9999999999999,3,3,3,33,need_attention
A10SE2VRSJRAIO,111,4,178.64000000000001,4,2,1,42,potential_loyalists
A10TBMLYQDTWX9,613,3,263.8,1,2,2,12,hibernating
A10UYDQ23KQZ6Y,386,4,284.28000000000003,2,2,2,22,hibernating
A10VQNL2TXDGII,53,136,17035.19,4,5,5,45,loyal_customers
A10WDT0JKES4XN,163,19,1116.3200000000002,4,4,3,44,loyal_customers
A10WI6J3MPPIUZ,306,1,58.17,2,1,1,21,hibernating
A110ICBTEGE8HV,103,3,394.84000000000003,4,2,2,42,potential_loyalists
A110TIW5G32SKD,586,9,454.12,1,3,2,13,at_Risk
A110X119R0PPH4,567,10,293.32,1,3,2,13,at_Risk
A111IWAUJ77EPM,428,1,54.1,2,1,1,21,hibernating
A113DQWKCPIMDK,138,26,2462.73,4,4,4,44,loyal_customers
